Category ID	Manufacturer	Title	Description	Product URL	Image URL	SKU	Availability	Condition	Ship Weight	Ship Cost	Bid	Promotional Code	UPC	Price
88	Adem	ENIGMA de Adem	Eau de Cologne Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=250241	http://www.parfumwholesale.com/images/photos/134494.jpg	134494	50			14			134494	42.5
88	Adem	ENIGMA de Adem	ESSENCE Soin hydratant 50 ml	http://www.fragrancelover.com/product_info.php?products_id=269723	http://www.parfumwholesale.com/images/photos/186388.jpg	186388	50			14			186388	52.75
88	Adidas	ADIDAS FAIR PLAY de Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.fragrancelover.com/product_info.php?products_id=347801	http://www.parfumwholesale.com/images/photos/167846.jpg	167846	50			14			167846	21.5
88	Adidas	ADIDAS FAIR PLAY de Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.fragrancelover.com/product_info.php?products_id=347802	http://www.parfumwholesale.com/images/photos/207381.jpg	207381	7			14			207381	22
88	Adidas	ADIDAS FRESH ESCAPE de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347806	http://www.parfumwholesale.com/images/photos/198206.jpg	198206	50			14			198206	22
88	Adidas	ADIDAS FRESH IMPACT de Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.fragrancelover.com/product_info.php?products_id=347807	http://www.parfumwholesale.com/images/photos/186214.jpg	186214	50			14			186214	21.5
88	Adidas	ADIDAS INTENSE TOUCH de Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES) ( Edition limitée )	http://www.fragrancelover.com/product_info.php?products_id=347814	http://www.parfumwholesale.com/images/photos/213841.jpg	213841	38			14			213841	23
88	Adidas	ADIDAS FRESH IMPACT de Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.fragrancelover.com/product_info.php?products_id=347808	http://www.parfumwholesale.com/images/photos/207382.jpg	207382	20			14			207382	22
88	Adidas	ADIDAS FRUITY RHYTHM de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347809	http://www.parfumwholesale.com/images/photos/142087.jpg	142087	50			14			142087	21.25
88	Adidas	ADIDAS HAPPY GAME de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347810	http://www.parfumwholesale.com/images/photos/205652.jpg	205652	33			14			205652	22.75
88	Adidas	ADIDAS ICE DIVE de Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.fragrancelover.com/product_info.php?products_id=347812	http://www.parfumwholesale.com/images/photos/127840.jpg	127840	50			14			127840	21.25
88	Adidas	ADIDAS PURE LIGHTNESS de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347827	http://www.parfumwholesale.com/images/photos/155354.jpg	155354	50			14			155354	21.5
88	Adidas	ADIDAS NATURAL VITALITY de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347824	http://www.parfumwholesale.com/images/photos/174569.jpg	174569	12			14			174569	21.25
88	Adidas	ADIDAS PURE GAME de Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.fragrancelover.com/product_info.php?products_id=347825	http://www.parfumwholesale.com/images/photos/210907.jpg	210907	50			14			210907	22.5
88	Adidas	ADIDAS DYNAMIC PULSE de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347797	http://www.parfumwholesale.com/images/photos/135227.jpg	135227	50			14			135227	20.5
88	Adidas	ADIDAS DYNAMIC PULSE de Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.fragrancelover.com/product_info.php?products_id=347798	http://www.parfumwholesale.com/images/photos/128803.jpg	128803	50			14			128803	21.25
88	Adidas	ADIDAS DYNAMIC PULSE de Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.fragrancelover.com/product_info.php?products_id=347799	http://www.parfumwholesale.com/images/photos/207380.jpg	207380	50			14			207380	21.75
88	Adidas	ADIDAS FLORAL DREAM de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347804	http://www.parfumwholesale.com/images/photos/140377.jpg	140377	50			14			140377	20.75
88	Adidas	ADIDAS MOVES de Adidas	Eau de Toilette Vaporisateur 30 ml & Lotion pour le corps 60 ml	http://www.fragrancelover.com/product_info.php?products_id=347823	http://www.parfumwholesale.com/images/photos/165594.jpg	165594	27			14			165594	23.25
88	Adidas	ADIDAS MOVES de Adidas	Eau de Toilette Vaporisateur 30 ml	http://www.fragrancelover.com/product_info.php?products_id=347821	http://www.parfumwholesale.com/images/photos/134435.jpg	134435	4			14			134435	23.5
88	Adidas	ADIDAS MOVES PULSE de Adidas	Eau de Toilette Vaporisateur 30 ml	http://www.fragrancelover.com/product_info.php?products_id=347818	http://www.parfumwholesale.com/images/photos/201751.jpg	201751	50			14			201751	20.5
88	Adidas	ADIDAS MOVES PULSE de Adidas	Eau de Toilette Vaporisateur 30 ml	http://www.fragrancelover.com/product_info.php?products_id=347819	http://www.parfumwholesale.com/images/photos/206298.jpg	206298	14			14			206298	21.75
88	Adidas	Adidas Moves 0:01 de Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.fragrancelover.com/product_info.php?products_id=347817	http://www.parfumwholesale.com/images/photos/204109.jpg	204109	42			14			204109	23.5
